ID_Venta,Fecha,Hora,Farmacia,Vendedor,Tipo_Cliente,ID_Medicamento,Nombre_Medicamento,Fabricante,Tipo_ATC,Cantidad,Precio_Unitario,Costo_Unitario
1001,2025-10-15,19:30:12,Maipú,Laura Jiménez,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,4,2300,1200
1002,2025-10-29,12:32:32,Santiago,Pedro López,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,4,3100,1500
1003,2025-10-10,21:39:48,Peñalolén,Ana Gómez,Minorista,M-3,Ibuprofeno 400mg,Laboratorios C,AINE,6,2300,1200
1004,2025-10-02,14:57:33,Las Condes,Luis Fernández,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,8,1500,750
1005,2025-10-19,20:05:39,Las Condes,Carlos Ruiz,Minorista,M-6,Sertralina 50mg,Farmacéutica F,Antidepresivo,3,2600,1400
1006,2025-10-10,19:54:44,Maipú,Laura Jiménez,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,3,2100,1200
1007,2025-10-03,15:23:29,Maipú,Laura Jiménez,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,3,1500,750
1008,2025-10-28,16:50:55,Santiago,Juan Pérez,Minorista,M-4,Salbutamol 100mcg,Farmacéutica D,Broncodilatador,2,3100,1500
1009,2025-10-21,10:59:30,Las Condes,Luis Fernández,Minorista,M-1,Paracetamol 500mg,Laboratorios A,Analgésico,5,1500,750
1010,2025-10-06,16:04:35,Santiago,Juan Pérez,Minorista,M-10,Atorvastatina 20mg,Farmacéutica I,Estatina,1,2250,1200
1011,2025-10-17,17:33:16,San Bernardo,Diego Sánchez,Minorista,M-8,Aspirina 100mg,Bayer,Analgésico,5,3150,2000
1012,2025-10-09,15:59:05,Peñalolén,Ana Gómez,Minorista,M-9,Losartán 50mg,Laboratorios H,Antihipertensivo,1,2100,1200
